mediaID,fileName,commonName
1,badger.JPG,badger
2,bird3.JPG,bird
3,chamois1.JPG,chamois
4,dog.JPG,dog
5,fox1.JPG,fox
6,human11.JPG,human
7,human2.JPG,human
8,lagomorph1.JPG,lagomorph
9,roedeer11.JPG,roedeer
10,roedeer2.JPG,roedeer
11,vehicle.JPG,vehicle
12,wildboar13.JPG,wildboar
13,wildboar21.JPG,wildboar
14,wolf1.JPG,wolf
15,bird1.JPG,bird
16,cat1.JPG,cat
17,chamois2.JPG,chamois
18,empty1.JPG,empty
19,fox2.JPG,fox
20,human12.JPG,human
21,human3.JPG,human
22,lagomorph2.JPG,lagomorph
23,roedeer12.JPG,roedeer
24,sheep.JPG,sheep
25,wildboar11.JPG,wildboar
26,wildboar14.JPG,wildboar
27,wildboar22.JPG,wildboar
28,wolf2.JPG,wolf
29,bird2.JPG,bird
30,cat2.JPG,cat
31,chamois3.JPG,chamois
32,empty2.JPG,empty
33,hedgehog.JPG,hedgehog
34,human13.JPG,human
35,human4.JPG,human
36,mustelide.JPG,mustelide
37,roedeer13.JPG,roedeer
38,squirrel.JPG,squirrel
39,wildboar12.JPG,wildboar
40,wildboar15.JPG,wildboar
41,wildboar23.JPG,wildboar
42,Fake.JPG,wildboar
43,Fake2.JPG,
44,Fake3.JPG,
45,Fake4.JPG,
46,Fake4.JPG,
