filename,prediction,score
/home/vmiele/Projects/deepfaune/code/gui/testdata/blaireau2.jpg,blaireau,0.73
/home/vmiele/Projects/deepfaune/code/gui/testdata/blaireau3.jpg,blaireau,0.99
/home/vmiele/Projects/deepfaune/code/gui/testdata/blaireau_nb.jpg,blaireau,0.99
/home/vmiele/Projects/deepfaune/code/gui/testdata/cerf_neige.jpg,cerf,0.99
/home/vmiele/Projects/deepfaune/code/gui/testdata/chamois.jpg,chamois,0.99
/home/vmiele/Projects/deepfaune/code/gui/testdata/chamois2.jpg,undefined,0.38
/home/vmiele/Projects/deepfaune/code/gui/testdata/chamois3.jpg,chamois,0.98
/home/vmiele/Projects/deepfaune/code/gui/testdata/chevreuilflou.png,chamois,0.62
/home/vmiele/Projects/deepfaune/code/gui/testdata/chien.jpg,undefined,0.47
/home/vmiele/Projects/deepfaune/code/gui/testdata/deer.jpg,chevreuil,0.97
/home/vmiele/Projects/deepfaune/code/gui/testdata/ecureuil.jpg,undefined,0.31
/home/vmiele/Projects/deepfaune/code/gui/testdata/ecureuil2.jpg,ecureuil,0.99
/home/vmiele/Projects/deepfaune/code/gui/testdata/empty-night.jpg,lagomorphe,0.85
/home/vmiele/Projects/deepfaune/code/gui/testdata/empty.jpg,vide,1.0
/home/vmiele/Projects/deepfaune/code/gui/testdata/humain.jpg,humain,0.98
/home/vmiele/Projects/deepfaune/code/gui/testdata/humain2.jpg,humain,0.88
/home/vmiele/Projects/deepfaune/code/gui/testdata/humain3.jpg,humain,0.73
/home/vmiele/Projects/deepfaune/code/gui/testdata/lago.jpg,vide,1.0
/home/vmiele/Projects/deepfaune/code/gui/testdata/lievre.jpg,lagomorphe,0.77
/home/vmiele/Projects/deepfaune/code/gui/testdata/loup.jpg,loup,0.99
/home/vmiele/Projects/deepfaune/code/gui/testdata/loup2.jpg,loup,0.99
/home/vmiele/Projects/deepfaune/code/gui/testdata/loup3.jpg,loup,0.99
/home/vmiele/Projects/deepfaune/code/gui/testdata/loup4.jpg,loup,0.99
/home/vmiele/Projects/deepfaune/code/gui/testdata/loup4_blue.jpg,chevreuil,0.5
/home/vmiele/Projects/deepfaune/code/gui/testdata/lupus.jpg,loup,0.99
/home/vmiele/Projects/deepfaune/code/gui/testdata/mouflon-manchettes.jpg,undefined,0.47
/home/vmiele/Projects/deepfaune/code/gui/testdata/mouflon.jpg,mouflon,0.99
/home/vmiele/Projects/deepfaune/code/gui/testdata/mustelide.jpg,blaireau,0.73
/home/vmiele/Projects/deepfaune/code/gui/testdata/mustelide2.jpg,blaireau,0.81
/home/vmiele/Projects/deepfaune/code/gui/testdata/mustelide3.jpg,undefined,0.43
/home/vmiele/Projects/deepfaune/code/gui/testdata/sanglier.jpg,sanglier,0.99
/home/vmiele/Projects/deepfaune/code/gui/testdata/vide.jpg,vide,1.0
/home/vmiele/Projects/deepfaune/code/gui/testdata/vide2.jpg,vide,1.0
/home/vmiele/Projects/deepfaune/code/gui/testdata/voiture.jpg,undefined,0.46
